case_no,player,team,games,minutes,x2P,x3P,TRB,AST,STL,BLK
203,Danilo Gallinari,LAC,21,671,0.098360656,0.053651267,0.15052161,0.061102832,0.017883756,0.01490313
204,Rudy Gobert,UTA,56,1816,0.151982379,0,0.330947137,0.044052863,0.024229075,0.071035242
205,Damyean Dotson,NYK,44,474,0.105485232,0.046413502,0.17721519,0.065400844,0.025316456,0.004219409
206,Pascal Siakam,TOR,81,1679,0.133412746,0.017272186,0.216795712,0.094699226,0.036926742,0.02501489
207,Tyler Johnson,MIA,72,2052,0.092592593,0.057992203,0.1208577,0.080409357,0.029239766,0.016569201
208,Luke Kornet,NYK,20,326,0.064417178,0.085889571,0.196319018,0.079754601,0.018404908,0.049079755
209,Channing Frye,TOT,53,695,0.09352518,0.056115108,0.194244604,0.054676259,0.025899281,0.018705036
210,Cameron Payne,CHI,25,582,0.089347079,0.060137457,0.118556701,0.194158076,0.04467354,0.015463918
211,DeMarre Carroll,BRK,73,2180,0.082568807,0.066513761,0.219724771,0.067431193,0.02706422,0.013761468
212,Ivica Zubac,LAL,43,410,0.148780488,0,0.3,0.06097561,0.019512195,0.036585366
213,Courtney Lee,NYK,76,2310,0.0995671,0.048917749,0.096969697,0.077922078,0.034632035,0.007359307
214,Josh Richardson,MIA,81,2689,0.101152845,0.047229453,0.105987356,0.085905541,0.044998141,0.027891409
215,Davis Bertans,SAS,77,1086,0.061694291,0.086556169,0.140883978,0.068139963,0.023941068,0.025782689
216,Jerami Grant,OKC,81,1647,0.128718883,0.019429265,0.193685489,0.034608379,0.018822101,0.04675167
217,Tyler Dorsey,ATL,56,974,0.073921971,0.073921971,0.133470226,0.08110883,0.017453799,0.00513347
218,Thabo Sefolosha,UTA,38,806,0.106699752,0.039702233,0.199751861,0.040942928,0.064516129,0.014888337
219,Frank Mason,SAC,52,984,0.114837398,0.031504065,0.132113821,0.149390244,0.034552846,0.010162602
220,Langston Galloway,DET,58,863,0.059096176,0.086906141,0.106604867,0.067207416,0.040556199,0.005793743
221,John Henson,MIL,76,1970,0.145177665,0.000507614,0.260406091,0.05786802,0.02284264,0.055329949
222,Shabazz Napier,POR,74,1535,0.091856678,0.053420195,0.110749186,0.09771987,0.05276873,0.009120521
223,Sam Dekker,LAC,73,883,0.133635334,0.011325028,0.197055493,0.043035108,0.027180068,0.010192525
224,Timofey Mozgov,BRK,31,359,0.133704735,0.011142061,0.272980501,0.030640669,0.013927577,0.036211699
225,Dillon Brooks,MEM,82,2350,0.104680851,0.04,0.109361702,0.057446809,0.03106383,0.007234043
226,JaMychal Green,MEM,55,1542,0.116731518,0.027885863,0.300907912,0.051232166,0.02075227,0.016212711
227,Nick Young,GSW,80,1393,0.055994257,0.088298636,0.089734386,0.025843503,0.027279253,0.005025126
228,Ben McLemore,MEM,56,1091,0.093492209,0.050412466,0.127406049,0.046746104,0.034830431,0.013748854
229,Patrick Beverley,LAC,11,334,0.071856287,0.071856287,0.134730539,0.095808383,0.053892216,0.01497006
230,Denzel Valentine,CHI,77,2095,0.075417661,0.068257757,0.187589499,0.11646778,0.031026253,0.005250597
231,Jordan Bell,GSW,57,809,0.143386897,0,0.255871446,0.126081582,0.043263288,0.069221261
232,Joe Young,IND,53,558,0.098566308,0.044802867,0.112903226,0.069892473,0.025089606,0.001792115
233,Troy Daniels,PHO,79,1622,0.030209618,0.112823674,0.078298397,0.029593095,0.016029593,0.003082614
234,Kelly Oubre,WAS,81,2231,0.086060063,0.056476916,0.162707306,0.04392649,0.035858359,0.015688032
235,Aron Baynes,BOS,81,1485,0.139393939,0.002020202,0.292255892,0.062626263,0.014814815,0.034343434
236,Norman Powell,TOR,70,1062,0.0913371,0.049905838,0.112052731,0.083804143,0.034839925,0.015065913
237,Kyle Korver,CLE,73,1574,0.036848793,0.104193139,0.104828463,0.055908513,0.019695044,0.017153748
238,Luke Kennard,DET,73,1463,0.085440875,0.055365687,0.120300752,0.084757348,0.030075188,0.008885851
239,Spencer Dinwiddie,BRK,80,2306,0.079358196,0.06114484,0.112315698,0.227233304,0.029488291,0.009973981
240,Jodie Meeks,WAS,77,1119,0.075960679,0.064343164,0.112600536,0.062555853,0.025915996,0.00357462
241,Delon Wright,TOR,69,1433,0.101186322,0.039078856,0.138171668,0.139567341,0.050244243,0.023028611
242,Jonas Jerebko,UTA,74,1134,0.082892416,0.057319224,0.216931217,0.037037037,0.021164021,0.010582011
243,Tarik Black,HOU,51,536,0.138059701,0.001865672,0.304104478,0.024253731,0.039179104,0.055970149
244,Marcin Gortat,WAS,82,2075,0.139759036,0,0.300240964,0.072771084,0.019277108,0.02939759
245,Isaiah Taylor,ATL,67,1167,0.122536418,0.017137961,0.080548415,0.176520994,0.029134533,0.00856898
246,Wayne Ellington,MIA,77,2041,0.028417442,0.11121999,0.106810387,0.038706516,0.025967663,0.003919647
247,Devin Harris,TOT,71,1340,0.080597015,0.058955224,0.094776119,0.113432836,0.035074627,0.008955224
248,Gorgui Dieng,MIN,79,1333,0.12528132,0.014253563,0.270067517,0.053263316,0.03375844,0.029257314
249,T.J. Leaf,IND,53,459,0.100217865,0.039215686,0.178649237,0.019607843,0.010893246,0.008714597
250,Danuel House,PHO,23,403,0.101736973,0.037220844,0.188585608,0.062034739,0.017369727,0.014888337
251,Jamil Wilson,LAC,15,274,0.040145985,0.098540146,0.116788321,0.03649635,0.018248175,0.02919708
252,D.J. Augustin,ORL,75,1760,0.073863636,0.064772727,0.090909091,0.163068182,0.030681818,0
253,Raul Neto,UTA,41,498,0.100401606,0.03815261,0.098393574,0.15060241,0.026104418,0.008032129
254,Kentavious Caldwell-Pope,LAL,74,2458,0.073637103,0.064686737,0.157445077,0.065907242,0.043124491,0.006509357
255,Bryn Forbes,SAS,80,1517,0.079103494,0.058668425,0.072511536,0.052735662,0.018457482,0.001318392
256,Tyler Ennis,LAL,54,683,0.117130307,0.020497804,0.13909224,0.153733529,0.043923865,0.014641288
257,Isaiah Hicks,NYK,18,240,0.129166667,0.008333333,0.170833333,0.066666667,0.008333333,0.016666667
258,Jordan Mickey,MIA,23,284,0.13028169,0.007042254,0.288732394,0.031690141,0.021126761,0.035211268
259,Andrew Harrison,MEM,56,1326,0.101055807,0.035444947,0.098793363,0.133484163,0.028657617,0.019607843
260,Nicolas Batum,CHO,64,1981,0.089853609,0.046441191,0.154467441,0.17617365,0.032811711,0.011610298
261,Yogi Ferrell,DAL,82,2282,0.077563541,0.058720421,0.109114812,0.088080631,0.028045574,0.003943909
262,Robert Covington,PHI,80,2532,0.056082148,0.080173776,0.171011058,0.061611374,0.054107425,0.028436019
263,Emeka Okafor,NOP,26,353,0.135977337,0,0.339943343,0.02266289,0.02266289,0.07082153
264,Gary Payton,TOT,23,221,0.108597285,0.027149321,0.199095023,0.095022624,0.031674208,0.013574661
265,Cody Zeller,CHO,33,627,0.132376396,0.003189793,0.282296651,0.049441786,0.022328549,0.033492823
266,Rajon Rondo,NOP,65,1705,0.106158358,0.029325513,0.154252199,0.312609971,0.041055718,0.005865103
267,Mike Muscala,ATL,53,1060,0.076415094,0.058490566,0.216981132,0.048113208,0.029245283,0.025471698
268,Daniel Theis,BOS,63,936,0.115384615,0.019230769,0.292735043,0.05982906,0.032051282,0.051282051
269,Doug McDermott,TOT,81,1768,0.082013575,0.052036199,0.113122172,0.044683258,0.010746606,0.009049774
270,Cedi Osman,CLE,61,672,0.086309524,0.047619048,0.178571429,0.061011905,0.032738095,0.004464286
271,Milos Teodosic,LAC,45,1134,0.055555556,0.077601411,0.111111111,0.184303351,0.020282187,0.004409171
272,Jarell Martin,MEM,73,1661,0.112582781,0.020469597,0.191450933,0.043949428,0.023479831,0.029500301
273,Patty Mills,SAS,82,2107,0.059800664,0.073089701,0.073089701,0.108685335,0.026103465,0.005220693
274,Wesley Matthews,DAL,63,2131,0.061004223,0.071797278,0.092914125,0.08071328,0.035664008,0.007508212
275,Marquese Chriss,PHO,72,1527,0.095612312,0.036673215,0.258677145,0.054354944,0.033398821,0.045841519
276,Brandon Jennings,MIL,14,205,0.087804878,0.043902439,0.151219512,0.214634146,0.029268293,0.019512195
277,Shelvin Mack,ORL,69,1365,0.095238095,0.035164835,0.121611722,0.199267399,0.03956044,0.005860806
278,George Hill,TOT,67,1812,0.083333333,0.046909492,0.099889625,0.102649007,0.033664459,0.014900662
279,Cristiano Felicio,CHI,55,977,0.129989765,0,0.238485159,0.05629478,0.016376663,0.011258956
280,Joe Ingles,UTA,82,2578,0.050814585,0.079131109,0.133436773,0.152055857,0.034910784,0.007757952
281,Jae Crowder,TOT,80,2090,0.077033493,0.052631579,0.131578947,0.047368421,0.03062201,0.010047847
282,Tyler Cavanaugh,ATL,39,518,0.067567568,0.061776062,0.245173745,0.052123552,0.017374517,0.007722008
283,Tyrone Wallace,LAC,30,851,0.117508813,0.011750881,0.123384254,0.083431257,0.03172738,0.015276146
284,Marvin Williams,CHO,78,2006,0.065802592,0.062811565,0.18444666,0.047856431,0.027916251,0.01894317
285,Justin Holiday,CHI,72,2265,0.056953642,0.071081678,0.128476821,0.067549669,0.035320088,0.013686534
286,JaKarr Sampson,SAC,22,344,0.113372093,0.014534884,0.226744186,0.026162791,0.023255814,0.063953488
287,Luke Babbitt,TOT,50,715,0.043356643,0.083916084,0.134265734,0.043356643,0.011188811,0.00979021
288,Bam Adebayo,MIA,69,1368,0.127192982,0,0.278508772,0.073830409,0.023391813,0.02997076
289,Evan Turner,POR,79,2034,0.10619469,0.020648968,0.119960669,0.085054081,0.023107178,0.01425762
290,Terrence Ross,ORL,24,600,0.076666667,0.05,0.121666667,0.063333333,0.045,0.018333333
291,Malik Beasley,DEN,62,583,0.077186964,0.048027444,0.121783877,0.053173242,0.025728988,0.012006861
292,Maxi Kleber,DAL,72,1206,0.092039801,0.033167496,0.194029851,0.042288557,0.021558872,0.038971808
293,Nemanja Bjelica,MIN,67,1371,0.069292487,0.05543399,0.199854121,0.062727936,0.03646973,0.011670314
294,Anthony Tolliver,DET,79,1757,0.034149118,0.090495162,0.137165623,0.051223677,0.018212863,0.011952191
295,Alec Peters,PHO,20,225,0.044444444,0.08,0.164444444,0.053333333,0.008888889,0.008888889
296,Jerian Grant,CHI,74,1686,0.087781732,0.036180308,0.102016607,0.202846975,0.037366548,0.004744958
297,Timothe Luwawu-Cabarrot,PHI,52,807,0.058240397,0.065675341,0.089219331,0.066914498,0.014869888,0.006195787
298,Isaiah Canaan,TOT,20,422,0.071090047,0.052132701,0.106635071,0.180094787,0.037914692,0.002369668
299,Garrett Temple,SAC,65,1615,0.068111455,0.055108359,0.094117647,0.076780186,0.035294118,0.016718266
300,Justise Winslow,MIA,68,1680,0.094047619,0.029166667,0.219642857,0.088095238,0.032142857,0.019642857
301,Tristan Thompson,CLE,53,1072,0.123134328,0,0.328358209,0.030783582,0.014925373,0.015858209
302,T.J. McConnell,PHI,76,1706,0.107268464,0.015826495,0.132473623,0.177608441,0.053927315,0.007620164
303,Kevon Looney,GSW,66,910,0.121978022,0.001098901,0.236263736,0.046153846,0.037362637,0.061538462
304,C.J. Williams,LAC,38,707,0.091937765,0.031117397,0.079207921,0.060820368,0.043847242,0.018387553
305,Draymond Green,GSW,70,2287,0.089199825,0.033668561,0.233930914,0.222125055,0.041539134,0.039790118
306,Justin Jackson,SAC,68,1506,0.08499336,0.037848606,0.124169987,0.049136786,0.018592297,0.008632138
307,David Nwaba,CHI,70,1646,0.111786148,0.010935601,0.198055893,0.063183475,0.035844471,0.017618469
308,Bismack Biyombo,ORL,82,1495,0.122408027,0,0.313043478,0.044147157,0.014046823,0.063545151
309,Tomas Satoransky,WAS,73,1643,0.09373098,0.028606208,0.141813755,0.17407182,0.031649422,0.009129641
310,Jarrett Jack,NYK,62,1548,0.105943152,0.016149871,0.123385013,0.224806202,0.022609819,0.002583979
311,Joe Johnson,TOT,55,1205,0.087966805,0.033195021,0.142738589,0.068879668,0.014937759,0.005809129
312,Danny Green,SAS,70,1791,0.056393076,0.064768286,0.139028476,0.061418202,0.035175879,0.044667783
313,Salah Mejri,DAL,61,729,0.120713306,0,0.33744856,0.048010974,0.030178326,0.091906722
314,Ian Mahinmi,WAS,77,1145,0.120524017,0,0.272489083,0.04628821,0.033187773,0.036681223
315,Josh Hart,LAL,63,1461,0.067077344,0.05338809,0.180013689,0.054757016,0.032169747,0.010951403
316,Rodney McGruder,MIA,18,299,0.070234114,0.050167224,0.107023411,0.056856187,0.026755853,0.010033445
317,Ryan Anderson,HOU,66,1725,0.044057971,0.075942029,0.191884058,0.034782609,0.013913043,0.012173913
318,Wilson Chandler,DEN,74,2346,0.08226769,0.037510656,0.169650469,0.068201194,0.018329071,0.016624041
319,Amir Johnson,PHI,74,1171,0.111016225,0.00853971,0.281810418,0.100768574,0.038428693,0.037574722
320,Noah Vonleh,TOT,54,875,0.096,0.022857143,0.355428571,0.038857143,0.021714286,0.019428571
321,Mario Chalmers,MEM,66,1421,0.080928923,0.037297678,0.110485574,0.138634764,0.055594652,0.009852217
322,Trevor Ariza,HOU,67,2269,0.043190833,0.074922874,0.129572499,0.046275892,0.043190833,0.005729396
323,Jerryd Bayless,PHI,39,925,0.059459459,0.058378378,0.086486486,0.058378378,0.024864865,0.006486486
324,Khem Birch,ORL,42,578,0.117647059,0,0.311418685,0.058823529,0.025951557,0.03633218
325,Corey Brewer,TOT,72,1208,0.091887417,0.025662252,0.127483444,0.053807947,0.065397351,0.011589404
326,Lucas Nogueira,TOR,49,418,0.105263158,0.011961722,0.208133971,0.052631579,0.055023923,0.102870813
327,Marcus Smart,BOS,54,1614,0.07063197,0.046468401,0.117100372,0.16047088,0.043990087,0.01425031
328,Kyle Anderson,SAS,74,1978,0.107178969,0.009605662,0.200202224,0.102123357,0.058139535,0.03033367
329,Nerlens Noel,DAL,30,472,0.116525424,0,0.355932203,0.042372881,0.065677966,0.046610169
330,Maurice Harkless,POR,59,1264,0.077531646,0.038765823,0.128164557,0.04193038,0.037974684,0.034018987
331,Cory Joseph,IND,82,2210,0.085520362,0.030316742,0.119004525,0.117647059,0.036199095,0.008144796
332,Ed Davis,POR,78,1471,0.115567641,0,0.390890551,0.027192386,0.021753909,0.035350102
333,Nik Stauskas,TOT,41,523,0.038240918,0.076481836,0.122370937,0.07456979,0.017208413,0.007648184
334,Miles Plumlee,ATL,55,918,0.114379085,0,0.248366013,0.049019608,0.018518519,0.032679739
335,Lonzo Ball,LAL,52,1780,0.063483146,0.050561798,0.202247191,0.211235955,0.049438202,0.024157303
336,James Ennis,TOT,72,1604,0.081670823,0.031795511,0.139650873,0.044264339,0.029301746,0.011221945
337,Vince Carter,SAC,58,1026,0.055555556,0.055555556,0.144249513,0.067251462,0.040935673,0.025341131
338,Darius Miller,NOP,82,1944,0.035493827,0.075617284,0.08436214,0.057098765,0.014403292,0.008744856
339,Jamel Artis,ORL,15,279,0.082437276,0.028673835,0.136200717,0.064516129,0.007168459,0.010752688
340,Al-Farouq Aminu,POR,69,2072,0.050675676,0.060328185,0.253378378,0.040540541,0.038127413,0.019305019
341,Pat Connaughton,POR,82,1488,0.061155914,0.049731183,0.108198925,0.061155914,0.015456989,0.014784946
342,Stanley Johnson,DET,69,1894,0.075501584,0.035374868,0.133051742,0.059134108,0.050158395,0.007391763
343,Guerschon Yabusele,BOS,33,235,0.059574468,0.05106383,0.221276596,0.068085106,0.017021277,0.021276596
344,OG Anunoby,TOR,74,1481,0.06076975,0.04929102,0.124240378,0.03713707,0.035111411,0.009453072
345,Zach Collins,POR,66,1045,0.076555024,0.033492823,0.211483254,0.049760766,0.016267943,0.029665072
346,Travis Wear,LAL,17,228,0.035087719,0.074561404,0.166666667,0.030701754,0.01754386,0.021929825
347,Rashad Vaughn,TOT,28,212,0.04245283,0.066037736,0.099056604,0.061320755,0.023584906,0.014150943
348,Myke Henry,MEM,20,378,0.058201058,0.05026455,0.100529101,0.058201058,0.082010582,0.015873016
349,Shane Larkin,BOS,54,775,0.068387097,0.04,0.118709677,0.126451613,0.037419355,0.003870968
350,Malcolm Delaney,ATL,54,1014,0.062130178,0.045364892,0.098619329,0.160749507,0.034516765,0.00591716
351,Ramon Sessions,TOT,28,392,0.086734694,0.020408163,0.096938776,0.196428571,0.035714286,0.005102041
352,J.R. Smith,CLE,80,2244,0.043226381,0.06372549,0.104723708,0.062834225,0.03030303,0.004901961
353,Glenn Robinson,IND,23,338,0.065088757,0.041420118,0.109467456,0.050295858,0.038461538,0.00295858
354,Luc Mbah a Moute,HOU,61,1564,0.065856777,0.04028133,0.118925831,0.03516624,0.046035806,0.015984655
355,Sterling Brown,MIL,54,776,0.06443299,0.041237113,0.184278351,0.032216495,0.039948454,0.016752577
356,Tyson Chandler,PHO,46,1151,0.105125977,0,0.363162467,0.046046916,0.013900956,0.023457863
357,Thon Maker,MIL,74,1238,0.07996769,0.025040388,0.18174475,0.037156704,0.030694669,0.042810985
358,Dante Cunningham,TOT,73,1562,0.067861716,0.037131882,0.19078105,0.030729834,0.02496799,0.019206146
359,Juan Hernangomez,DEN,25,277,0.054151625,0.050541516,0.194945848,0.0433213,0.02166065,0.010830325
360,Royce O'Neale,UTA,69,1150,0.067826087,0.036521739,0.205217391,0.082608696,0.031304348,0.013913043
361,Dorian Finney-Smith,DAL,21,448,0.058035714,0.044642857,0.167410714,0.058035714,0.022321429,0.008928571
362,Jonathan Isaac,ORL,27,536,0.072761194,0.029850746,0.184701493,0.03358209,0.061567164,0.055970149
363,Tyus Jones,MIN,82,1467,0.071574642,0.030674847,0.08997955,0.158145876,0.06475801,0.00408998
364,Jose Calderon,CLE,57,914,0.052516411,0.049234136,0.09190372,0.128008753,0.029540481,0.002188184
365,Alex Abrines,OKC,75,1134,0.027336861,0.074074074,0.100529101,0.024691358,0.0335097,0.007054674
366,Dwayne Bacon,CHO,53,713,0.085553997,0.01542777,0.173913043,0.053295933,0.022440393,0.002805049
367,Wesley Johnson,LAC,74,1486,0.060565276,0.040376851,0.145356662,0.041049798,0.051144011,0.041722746
368,Torrey Craig,DEN,39,629,0.07154213,0.027027027,0.20190779,0.039745628,0.019077901,0.023847377
369,Patrick McCaw,GSW,57,961,0.075962539,0.019771072,0.085327784,0.084287201,0.044745057,0.010405827
370,Quincy Acy,BRK,70,1359,0.020603385,0.075055188,0.188373804,0.041942605,0.024282561,0.02133922
371,Brandon Paul,SAS,64,576,0.069444444,0.026041667,0.118055556,0.064236111,0.043402778,0.012152778
372,Arron Afflalo,ORL,53,682,0.055718475,0.039589443,0.096774194,0.04398827,0.005865103,0.013196481
373,Jameer Nelson,TOT,50,1013,0.053307009,0.04047384,0.10266535,0.176702863,0.026653504,0.003948667
374,Marcus Georges-Hunt,MIN,42,224,0.075892857,0.017857143,0.071428571,0.03125,0.026785714,0
375,Terrance Ferguson,OKC,61,763,0.03931848,0.05242464,0.061598952,0.024901704,0.031454784,0.01310616
376,Treveon Graham,CHO,63,1050,0.053333333,0.038095238,0.115238095,0.056190476,0.031428571,0.001904762
377,Andre Iguodala,GSW,64,1622,0.070900123,0.020345253,0.151664612,0.12946979,0.033292232,0.023427867
378,Wesley Iwundu,ORL,62,1020,0.082352941,0.008823529,0.134313725,0.055882353,0.032352941,0.011764706
379,Michael Carter-Williams,CHO,52,835,0.074251497,0.016766467,0.165269461,0.138922156,0.052694611,0.02754491
380,Dragan Bender,PHO,82,2069,0.033349444,0.057032383,0.174480425,0.062832286,0.010633156,0.02561624
381,Tony Snell,MIL,75,2053,0.037506089,0.052605943,0.068679981,0.047735022,0.022893327,0.013638578
382,Alex Caruso,LAL,37,562,0.065836299,0.023131673,0.115658363,0.133451957,0.040925267,0.017793594
383,Sindarius Thornwell,LAC,73,1156,0.066608997,0.019896194,0.121107266,0.058823529,0.041522491,0.021626298
384,Derrick Jones,TOT,20,245,0.073469388,0.012244898,0.155102041,0.036734694,0.016326531,0.053061224
385,Andre Roberson,OKC,39,1037,0.076181292,0.007714561,0.178399229,0.044358727,0.043394407,0.033751205
386,Patrick Patterson,OKC,82,1270,0.031496063,0.051968504,0.151968504,0.04488189,0.037795276,0.018110236
387,Eric Moreland,DET,67,805,0.081987578,0,0.345341615,0.09689441,0.038509317,0.063354037
388,Aaron Harrison,DAL,9,233,0.042918455,0.038626609,0.103004292,0.0472103,0.038626609,0.008583691
389,Tim Frazier,WAS,59,838,0.060859189,0.020286396,0.137231504,0.23150358,0.056085919,0.008353222
390,Briante Weber,TOT,18,237,0.063291139,0.016877637,0.147679325,0.092827004,0.075949367,0.021097046
391,Iman Shumpert,CLE,14,276,0.054347826,0.025362319,0.148550725,0.061594203,0.032608696,0.014492754
392,Kyle Collinsworth,DAL,32,480,0.070833333,0.008333333,0.222916667,0.116666667,0.035416667,0.01875
393,Andrew Bogut,LAL,23,216,0.078703704,0,0.361111111,0.069444444,0.018518519,0.060185185
394,Matthew Dellavedova,MIL,38,712,0.036516854,0.040730337,0.08988764,0.203651685,0.019662921,0
395,P.J. Tucker,HOU,82,2281,0.02498904,0.050416484,0.200350723,0.033757124,0.034195528,0.011398509
396,Lance Thomas,NYK,73,1353,0.038433112,0.036954915,0.129342203,0.032520325,0.022172949,0.010347376
397,Ekpe Udoh,UTA,63,810,0.074074074,0,0.185185185,0.065432099,0.05308642,0.091358025
398,Jason Terry,MIL,51,814,0.023341523,0.049140049,0.058968059,0.072481572,0.051597052,0.015970516
399,Jared Dudley,PHO,48,686,0.027696793,0.042274052,0.137026239,0.113702624,0.034985423,0.016034985
400,Josh Magette,ATL,18,216,0.032407407,0.037037037,0.087962963,0.263888889,0.037037037,0.00462963
401,Josh Huestis,OKC,69,982,0.027494908,0.033604888,0.16395112,0.020366599,0.015274949,0.043788187
402,Semi Ojeleye,BOS,73,1150,0.02173913,0.034782609,0.14,0.017391304,0.01826087,0.003478261
403,Ryan Arcidiacono,CHI,24,304,0.026315789,0.029605263,0.082236842,0.115131579,0.042763158,0
404,DeAndre Liggins,TOT,58,724,0.029005525,0.026243094,0.10359116,0.066298343,0.051104972,0.019337017
405,Ron Baker,NYK,29,385,0.023376623,0.028571429,0.077922078,0.122077922,0.067532468,0.015584416